Course,Topic#,Topic,Check,Q#,Type,Question,Options,Configured correct answer,Critical,Needs confirmation
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A201 - Quiz,3,mcq,Is the A401 Self-Drilling Screw included with the box of components?,Yes | No | Only if you ask,Yes,,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A202 - Quiz,0,mcq,Which item is the A202 Joiner Bracket?,Image 1   Double joist bracket | Image 2   Joist anchor | Image 3   Joiner bracket | Image 4   90 bracket,Image 3   Joiner bracket,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A202 - Quiz,1,mcq,What is the main use of the A202 Joiner Bracket?,Strengthening wooden beams | Supporting heavy loads | Joining profiles end to end | Creating decorative elements,Joining profiles end to end,,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A202 - Quiz,2,mcq,Where does the QR code on the box linking you to?,It links to Outdure's website | It links to the Google Maps | It links to instructional videos on how to install the product,It links to instructional videos on how to install the product,,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A202 - Quiz,3,mcq,How many brackets are included in a box of A202 Joiner Bracket?,2 | 10 | 15 | 20,10,,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A203 - Quiz,0,mcq,What is the main purpose of the A203 Joist Anchor Bracket?,To decorate joists | To anchor joists onto beams and prevent movement | To add insulation to beams | To increase the length of the profiles,To anchor joists onto beams and prevent movement,,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A203 - Quiz,1,mcq,How many brackets are included in a box of A203 Joist Anchor Bracket?,5 | 15 | 20 | 25,25,,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A203 - Quiz,2,multi_select,Which Joist / Beam profiles require the A203 Joist Anchor Bracket on both sides?,"Image 1   2x1/2"" / 13x45mm | Image 2   2x1"" / 28x45mm | Image 3.  2x2"" / 45x45mm | Image 4.  2x4"" / 90x45mm | Image 5.  2x6"" / 135x45mm | Image 6.  2x8"" / 180x45mm","Image 4.  2x4"" / 90x45mm | Image 5.  2x6"" / 135x45mm | Image 6.  2x8"" / 180x45mm",,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,0,mcq,What is the difference between the standard and the flat Double Joist Bracket?,"Nothing there is no difference it's a personal preference | One fits the A110 (2X1"") 28X45mm frame | One has the camlock design to suit twistclips | One is longer than the other",One has the camlock design to suit twistclips,,confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,1,mcq,What item is the A205 Double Joist Bracket?,Image 1  A910 deck support | Image 2    joiner bracket | Image 3    joist anchor | Image 4    double joist bracket,Image 4    double joist bracket,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,2,mcq,What is the main purpose of double joist brackets?,To make your frame longer | For attaching trim boards to the side of the structure | To provide support for the second board on butt joins | To increase the height of the joist,To provide support for the second board on butt joins,,confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,3,mcq,What is the best way to calculate what materials I require for my job?,Work it out onsite | Draw it on a piece of paper | Guess whats needed and return the leftover later | Use Outdure's online DeckPlanner,Use Outdure's online DeckPlanner,,confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,4,mcq,What is the purpose of A207 Brace Plate?,Attaching two profiles end on end | Attaching two profiles directly on top of each other as a compound connection | It serves no purpose | Attaching a post to a beam,Attaching two profiles directly on top of each other as a compound connection,,confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,5,mcq,What screws are supplied with the A207 Brace Plate?,Image 1   A611 | Image 2   A401 | Image 3   A655 | Imahe 4   A404,Image 2   A401,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,6,mcq,Which item is a Trim Bracket?,image 1 double joist bracket | image 2 90 bracekt | image 3 twistclip | image 4 Trim bracket,image 4 Trim bracket,,confirm technical accuracy
Outdure Installer Training,4,EP 3 — A200 Range,Knowledge Quiz A200,7,mcq,When would you typically use a A208 trim bracket?,"Around all boundary edges of the structure, including against the building | In the middle of the structure for added support | Around all boundary edges of the structure, excluding against the building","Around all boundary edges of the structure, excluding against the building",,confirm technical accuracy
Outdure Installer Training,5,EP 4 — A300 Range (for A110),Knowledge Quiz A300,0,mcq,What is unique about the A300 range?,Nothing | The A300 range only suits the A110 profiles | The A300 range is compatible with other brands | The A300 range is made of galvanised steel,The A300 range only suits the A110 profiles,,confirm technical accuracy
Outdure Installer Training,5,EP 4 — A300 Range (for A110),Knowledge Quiz A300,1,mcq,Which item is A301 90° Bracket and Joist Anchor?,image 1 joist anchor | image 2 90 braceket & joist anchor - A110 | image 3 joiner bracket - A110 | image 4 double joist bracket,image 2 90 braceket & joist anchor - A110,,confirm technical accuracy
Outdure Installer Training,5,EP 4 — A300 Range (for A110),Knowledge Quiz A300,2,mcq,What is the purpose of A302 - Joiner bracket,Join A110 profiles top and bottom as a compound profile | Connect joist to beam connections | Join A110 profiles end to end | Attach trim to side of structure,Join A110 profiles end to end,,confirm technical accuracy
Outdure Installer Training,5,EP 4 — A300 Range (for A110),Knowledge Quiz A300,3,mcq,What is the best way to calculate what materials I require for my job?,Work it out onsite | Draw it on a piece of paper | Guess whats needed and return the leftover later | Use Outdure's online DeckPlanner,Use Outdure's online DeckPlanner,,confirm technical accuracy
Outdure Installer Training,5,EP 4 — A300 Range (for A110),Knowledge Quiz A300,4,mcq,What is the main purpose of double joist brackets?,To make your frame longer | For attaching trim boards to the side of the structure | To provide support for the second board on butt joins | To increase the height of the joist,To provide support for the second board on butt joins,,confirm technical accuracy
Outdure Installer Training,5,EP 4 — A300 Range (for A110),Knowledge Quiz A300,5,mcq,What is the difference between the standard and the flat Double Joist Bracket?,"Nothing there is no difference it's a personal preference | One fits the A110 (2X1"") 28X45mm frame | One has the camlock design to suit twistclips | One is longer than the other",One has the camlock design to suit twistclips,,confirm technical accuracy
Outdure Installer Training,5,EP 4 — A300 Range (for A110),Knowledge Quiz A300,6,mcq,What screws are included with the A300 range of components ?,Image A310 | Image A401 | Image  A404 | Image A611,Image A401,,confirm technical accuracy
Outdure Installer Training,6,EP 5 — A400 Fasteners,Knowledge Quiz A400,0,mcq,What type of products are in the A400 series?,Framing | Pedestal supports | Surface products | Fasteners & fixings,Fasteners & fixings,YES,confirm technical accuracy
Outdure Installer Training,6,EP 5 — A400 Fasteners,Knowledge Quiz A400,1,mcq,When do you use the A409 screws?,With the Twistclip - Refer to Twistclip videos on when required | You don't use them ever,With the Twistclip - Refer to Twistclip videos on when required,YES,confirm technical accuracy
Outdure Installer Training,6,EP 5 — A400 Fasteners,Knowledge Quiz A400,2,mcq,What items come with the A420 QwickBuild Driver Pack?,2 x T15 | 2 x T20 | 2 x 3/8 Hex drivers | All of the above,All of the above,YES,"review ""all of the above"" giveaway; confirm technical accuracy"
Outdure Installer Training,7,EP 6 — A500 Clips,Twistclips - Quiz,0,mcq,What is the purpose of the Twistclips?,A concealed fastener for laying surfaces | Decorative feature | Creating double board joins | A concealed fastener to fix joist to beam profiles,A concealed fastener for laying surfaces,,confirm technical accuracy
Outdure Installer Training,7,EP 6 — A500 Clips,Twistclips - Quiz,1,true_false,We have twistclips to suit most leading board brands.,True | False,True,,confirm technical accuracy
Outdure Installer Training,7,EP 6 — A500 Clips,Twistclips - Quiz,2,mcq,Is there a one type fits all Twistclip?,"Yes | No, there are different type of Twistclips - refer to the Outdure Catalogue","No, there are different type of Twistclips - refer to the Outdure Catalogue",,confirm technical accuracy
Outdure Installer Training,7,EP 6 — A500 Clips,Twistclips - Quiz,3,mcq,What image shows the twistclip?,Image 1  T Clip | Image 2   90 bracket | Image 3  Twistclip | Image 4  Joist anchor,Image 3  Twistclip,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Outdure Installer Training,7,EP 6 — A500 Clips,T Clip - Quiz,0,mcq,What item is the T clip?,Image 1  T Clip | Image 2   Joist Anchor | Image 3   H65 Screw,Image 1  T Clip,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Outdure Installer Training,7,EP 6 — A500 Clips,A590 - Quiz,0,mcq,When do you use the A590 - Starter clip?,Every board to prevent any uplift | Only on ripped boards | Only against walls | On starter board or picture frame edge,On starter board or picture frame edge,,confirm technical accuracy
Outdure Installer Training,7,EP 6 — A500 Clips,A595 / A596 - Quiz,0,true_false,There are two Composite decking screw colors,True | False,True,,confirm technical accuracy
Outdure Installer Training,7,EP 6 — A500 Clips,A595 / A596 - Quiz,1,mcq,What is the best way to calculate what materials I require for my job?,Work it out onsite | Draw it on a piece of paper | Guess whats needed and return the leftover later | Use Outdure's online DeckPlanner,Use Outdure's online DeckPlanner,,confirm technical accuracy
Outdure Installer Training,8,EP 7 — A600 Screws for Hardwood,Knowledge Quiz A600,0,true_false,All screws are made from stainless steel?,True | False,True,,confirm technical accuracy
Outdure Installer Training,8,EP 7 — A600 Screws for Hardwood,Knowledge Quiz A600,1,mcq,What are the differences between the A600 screws?,Length | Head size | Head type | All of the above,All of the above,,"review ""all of the above"" giveaway; confirm technical accuracy"
Outdure Installer Training,8,EP 7 — A600 Screws for Hardwood,Knowledge Quiz A600,2,true_false,All four screws have a self drilling tip to drill into the Aluminum,True | False,True,,confirm technical accuracy
Outdure Installer Training,8,EP 7 — A600 Screws for Hardwood,Knowledge Quiz A600,3,mcq,What is the best way to calculate what materials I require for my job?,Work it out onsite | Draw it on a piece of paper | Guess whats needed and return the leftover later | Use Outdure's online DeckPlanner,Use Outdure's online DeckPlanner,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,A701 - Quiz,0,mcq,What products does the A700 series relate too?,Composite Decking | Indoor carpets | Tiles | Hardwood,Tiles,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,A701 - Quiz,1,mcq,How do you install the tile rubber bead,Use a hammer and hit it into the profile | Slide the rubber in from one end | There's no need. The tile just sits directly on top of the joist. | Place it on top of the joist and use hands to push down into the channel.,Place it on top of the joist and use hands to push down into the channel.,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,A701 - Quiz,2,mcq,What length does the tile rubber bead come in?,"40"" / 1m | 20"" / 500mm | 10"" / 250mm | Comes to length as you order it","40"" / 1m",,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,A702 / A703 - Quiz,0,mcq,What is the difference between A703 Tile Retainer Snap Clip and A702 Tile Retainer Bracket?,Only the A702 Tile Retainer Bracket retains the tiles. | There is no difference | Only the A703 Tile Retainer Snap Clip can be used parallel to joists.,Only the A703 Tile Retainer Snap Clip can be used parallel to joists.,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,A702 / A703 - Quiz,1,mcq,How do you calculate what's needed for my job?,Call Outdure and they will be able to tell me | Measure onsite and tally up whats needed | Use Outdures online decking planner software | Take a guess and return what not needed,Use Outdures online decking planner software,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,A710 / A711 - Quiz,0,true_false,All gaps between the tiles need to be grouted,True | False,False,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,A710 / A711 - Quiz,1,mcq,What are the A710 and A711 Tile Spacers used for?,To pack below the tile and get a flush finish to your indoor flooring | To create correct spacing between tiles and prevent them from touching each other. | They are used to decorate my floor,To create correct spacing between tiles and prevent them from touching each other.,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,0,mcq,What products does the A700 series relate too?,Composite Decking | Indoor carpets | Tiles | Hardwood,Tiles,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,1,mcq,How do you install the tile rubber bead,Use a hammer and hit it into the profile | Slide the rubber in from one end | There's no need. The tile just sits directly on top of the joist. | Place it on top of the joist and use hands to push down into the channel.,Place it on top of the joist and use hands to push down into the channel.,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,2,mcq,What length does the tile rubber bead come in?,"40"" / 1m | 20"" / 500mm | 10"" / 250mm | Comes to length as you order it","40"" / 1m",,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,3,mcq,What is the difference between A703 Tile Retainer Snap Clip and A702 Tile Retainer Bracket?,Only the A702 Tile Retainer Bracket retains the tiles. | There is no difference | Only the A703 Tile Retainer Snap Clip can be used parallel to joists.,Only the A703 Tile Retainer Snap Clip can be used parallel to joists.,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,4,mcq,How do you calculate what's needed for my job?,Call Outdure and they will be able to tell me | Measure onsite and tally up whats needed | Use Outdures online decking planner software | Take a guess and return what not needed,Use Outdures online decking planner software,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,5,true_false,All gaps between the tiles need to be grouted,True | False,False,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,6,mcq,What are the A710 and A711 Tile Spacers used for?,To pack below the tile and get a flush finish to your indoor flooring | To create correct spacing between tiles and prevent them from touching each other. | They are used to decorate my floor,To create correct spacing between tiles and prevent them from touching each other.,,confirm technical accuracy
Outdure Installer Training,9,EP 8 — A700 Tile System,Knowledge Quiz A700,7,mcq,What is the difference between the A712 Tile Trim Bracket and the A208 Trim Bracket?,Only one will fit my tile size | Nothing. There is no difference. | The A712 Has a bottom lip to support my tile while adhesive is drying. | The colour is different,The A712 Has a bottom lip to support my tile while adhesive is drying.,,confirm technical accuracy
Outdure Installer Training,10,EP 9 — A800 Turf System,A801 - Quiz,0,mcq,What is the A801 Turf Baseboard made of?,Steel | Recycled plastic | Pressure treated lumber | Aluminum,Aluminum,,confirm technical accuracy
Outdure Installer Training,10,EP 9 — A800 Turf System,A801 - Quiz,1,true_false,"Can you install a combination of surfaces (ie. turf, decking, tiles) all at one seamless height?",True | False,True,,confirm technical accuracy
Outdure Installer Training,10,EP 9 — A800 Turf System,A801 - Quiz,2,true_false,The artificial turf is installed by screwing it down to the A801 Turf Baseboards,True | False,True,,confirm technical accuracy
Outdure Installer Training,10,EP 9 — A800 Turf System,A801 - Quiz,3,mcq,Are Twistclips required when installing turf?,"No, they aren't used at all because the turf has no groove along the sides. | Only when installing vertically to hold the turf onto the wall | Yes, Twistclips are used when installing the A801 Turf Baseboards to the Outdure frame | Yes, but only when installing turf directly next to decking","Yes, Twistclips are used when installing the A801 Turf Baseboards to the Outdure frame",,confirm technical accuracy
Outdure Installer Training,11,EP 10 — Additional A800 Items,A831 / A832 - Quiz,0,multi_select,What colours does the A831 / A832 Qwickgrate comes in?,Silver | Brown | White | Black,Silver | Black,,confirm technical accuracy
Outdure Installer Training,11,EP 10 — Additional A800 Items,A831 / A832 - Quiz,1,true_false,The Qwickgrate can be easily removed once installed,True | False,True,,confirm technical accuracy
Outdure Installer Training,11,EP 10 — Additional A800 Items,A851 - Quiz,0,mcq,Where do I find the correct installation detail for attaching A851 Solid Blocking to the Outdure frame?,"I don't need one, it can be fixed anywhere | In Outudre's online Resource Section, where all of Outdure's detail drawings are stored | I need to contact my engineer to tell me","In Outudre's online Resource Section, where all of Outdure's detail drawings are stored",,confirm technical accuracy
Outdure Installer Training,11,EP 10 — Additional A800 Items,A851 - Quiz,1,mcq,How do you calculate what material I need for my project ?,Call Outdure and they will be able to help | Measure onsite and tally up | Use Outdures online Deck Planner | Guess and return whats left over,Use Outdures online Deck Planner,,confirm technical accuracy
Outdure Installer Training,12,EP 11 — A900 Supports,A900 - Quiz,0,mcq,What type of products are in the A900 series?,Turf | Tile | Pedestal supports | Aluminum profiles,Pedestal supports,,confirm technical accuracy
Outdure Installer Training,12,EP 11 — A900 Supports,A900 - Quiz,1,mcq,How many key products are in the A900 Supports series?,1 | 12 | 8 | 4,4,,confirm technical accuracy
Outdure Installer Training,12,EP 11 — A900 Supports,A900 - Quiz,2,true_false,You can stack A915 up to 1 foot / 300mm high,True | False,True,,confirm technical accuracy
Outdure Installer Training,12,EP 11 — A900 Supports,A900 - Quiz,3,mcq,What is the difference between A905 support and A910 support?,There is no difference | They can hold different weights | They are designed to suit different profiles | They accommodate different height ranges,They accommodate different height ranges,,confirm technical accuracy
Outdure Installer Training,12,EP 11 — A900 Supports,A900 - Quiz,4,mcq,What percentage can the A920 Slope corrector adjust to,3% | 5% | 7% | 10%,7%,,confirm technical accuracy
Outdure Installer Training,12,EP 11 — A900 Supports,A900 - Quiz,5,mcq,What is the purpose of A925 Protection Pad - Acoustic,To raise the height of the deck | To give a 'bouncy' feel to my deck | It is designed to provide extra acoustic insulation below my deck structure | It is designed to protect my pedestals from getting wet,It is designed to provide extra acoustic insulation below my deck structure,,confirm technical accuracy
Outdure Installer Training,12,EP 11 — A900 Supports,A900 - Quiz,6,true_false,Each support pedestal is designed to hold up to 1 tonne (point load),True | False,True,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,0,mcq,What are the benefits of using the Outdure framing,"Perfectly straight every time | Configurable to suit all deck types | Has easy to install components | No uneven extra lapping material on connections, flush finish every time | Lightweight and easy to handle | Will remain durable for many years to come | All of the above",All of the above,,"review ""all of the above"" giveaway; confirm technical accuracy"
Standard Training,2,Product Series,QwickBuild - Quiz,1,true_false,Outdure has framing to suit Elevated structures and low height structures.,True | False,True,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,2,true_false,Outdure framing is designed to comply with international engineering requirements.,True | False,True,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,3,mcq,How many Outdure Joist / Beam profiles are there?,6 | 4 | 8 | 7,6,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,4,mcq,What length do the Outdure Joist / Beam profiles come in?,10' / 2.8m | 40' / 12.1m | 20' / 5.8m | 30' / 9.1m,20' / 5.8m,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,5,mcq,What is the Outdure frame made of?,Steel | Composite | Aluminium | Pressure treated lumber,Aluminium,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,6,mcq,What is the lowest Outdure Joist / Beam profile available?,"1"" / 28mm | 1/2"" / 13mm | 3/8"" / 10mm | 2"" / 45mm","1/2"" / 13mm",,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,7,true_false,All Outdure framing profiles include the option to use our proprietary Twistclips ?,True | False,True,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,8,mcq,"Which code name matches the (2X1/2"") 13X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A100,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,9,mcq,"Which code name matches the (2X1"") 28X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A110,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,10,mcq,"Which code name matches the (2X2"") 45X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A120,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,11,mcq,"Which code name matches the (2X4"") 90X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A130,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,12,mcq,"Which code name matches the (2X6"") 135X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A140,,confirm technical accuracy
Standard Training,2,Product Series,QwickBuild - Quiz,13,mcq,"Which code name matches the (2X8"") 180X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A150,,confirm technical accuracy
Standard Training,2,Product Series,A201 - Quiz,0,mcq,Which item is the A201 90° Bracket?,Image 1   Double joist bracket | Image 2   Joist anchor | Image 3   90 bracket | Image 4   Joiner bracket,Image 3   90 bracket,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Standard Training,2,Product Series,A201 - Quiz,1,mcq,When would you use A201 90° brackets on both sides of the profile?,Non-load bearing structural connection | Load bearing structural connection | Whenever I have leftover brackets,Load bearing structural connection,,confirm technical accuracy
Standard Training,2,Product Series,A201 - Quiz,2,mcq,How many A201 90° Brackets are included in a box?,5 | 10 | 15 | 20,10,,confirm technical accuracy
Standard Training,2,Product Series,A201 - Quiz,3,mcq,Is the A401 Self-Drilling Screw included with the box of components?,Yes | No | Only if you ask,Yes,,confirm technical accuracy
Standard Training,2,Product Series,A202 - Quiz,0,mcq,Which item is the A202 Joiner Bracket?,Image 1   Double joist bracket | Image 2   Joist anchor | Image 3   Joiner bracket | Image 4   90 bracket,Image 3   Joiner bracket,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Standard Training,2,Product Series,A202 - Quiz,1,mcq,What is the main use of the A202 Joiner Bracket?,Strengthening wooden beams | Supporting heavy loads | Joining profiles end to end | Creating decorative elements,Joining profiles end to end,,confirm technical accuracy
Standard Training,2,Product Series,A202 - Quiz,2,mcq,Where does the QR code on the box linking you to?,It links to Outdure's website | It links to the Google Maps | It links to instructional videos on how to install the product,It links to instructional videos on how to install the product,,confirm technical accuracy
Standard Training,2,Product Series,A202 - Quiz,3,mcq,How many brackets are included in a box of A202 Joiner Bracket?,2 | 10 | 15 | 20,10,,confirm technical accuracy
Standard Training,2,Product Series,A203 - Quiz,0,mcq,What is the main purpose of the A203 Joist Anchor Bracket?,To decorate joists | To anchor joists onto beams and prevent movement | To add insulation to beams | To increase the length of the profiles,To anchor joists onto beams and prevent movement,,confirm technical accuracy
Standard Training,2,Product Series,A203 - Quiz,1,mcq,How many brackets are included in a box of A203 Joist Anchor Bracket?,5 | 15 | 20 | 25,25,,confirm technical accuracy
Standard Training,2,Product Series,A203 - Quiz,2,multi_select,Which Joist / Beam profiles require the A203 Joist Anchor Bracket on both sides?,"Image 1   2x1/2"" / 13x45mm | Image 2   2x1"" / 28x45mm | Image 3.  2x2"" / 45x45mm | Image 4.  2x4"" / 90x45mm | Image 5.  2x6"" / 135x45mm | Image 6.  2x8"" / 180x45mm","Image 4.  2x4"" / 90x45mm | Image 5.  2x6"" / 135x45mm | Image 6.  2x8"" / 180x45mm",,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Standard Training,2,Product Series,Twistclips - Quiz,0,mcq,What is the purpose of the Twistclips?,A concealed fastener for laying surfaces | Decorative feature | Creating double board joins | A concealed fastener to fix joist to beam profiles,A concealed fastener for laying surfaces,,confirm technical accuracy
Standard Training,2,Product Series,Twistclips - Quiz,1,true_false,We have twistclips to suit most leading board brands.,True | False,True,,confirm technical accuracy
